yolov3-voc-snowman
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
544
Loaded: 0.000025 seconds
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.467946, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.246465, Class: 0.612264, Obj: 0.456819, No Obj: 0.467427, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512716, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.472051, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.184271, Class: 0.421709, Obj: 0.368803, No Obj: 0.469267, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513023, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.467915, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.341376, Class: 0.673490, Obj: 0.151222, No Obj: 0.469364, .5R: 0.500000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513882, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468830, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.224776, Class: 0.560432, Obj: 0.606811, No Obj: 0.469608, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.135968, Class: 0.066713, Obj: 0.269184, No Obj: 0.513646, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470644, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.239342, Class: 0.611163, Obj: 0.696637, No Obj: 0.469943, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.238677, Class: 0.609261, Obj: 0.004496, No Obj: 0.513944, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469717, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.195370, Class: 0.476147, Obj: 0.318561, No Obj: 0.467547, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513554, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469591, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.234707, Class: 0.359934, Obj: 0.225167, No Obj: 0.470048, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.046440, Class: 0.201852, Obj: 0.482521, No Obj: 0.514218, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469765, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.290438, Class: 0.471391, Obj: 0.374388, No Obj: 0.467508, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.187618, Class: 0.377328, Obj: 0.253555, No Obj: 0.514061, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468852, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.204453, Class: 0.713523, Obj: 0.528658, No Obj: 0.469693, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513556, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469160, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.096479, Class: 0.509867, Obj: 0.517384, No Obj: 0.469336, .5R: 0.000000, .75R: 0.000000,  count: 4
