118: 5.770219, 9.463403 avg, 0.000008 rate, 5.119554 seconds, 7552 images
119: 6.371058, 9.154168 avg, 0.000008 rate, 5.138220 seconds, 7616 images
120: 10.006611, 9.239412 avg, 0.000008 rate, 5.141510 seconds, 7680 images
121: 7.131970, 9.028668 avg, 0.000008 rate, 4.375990 seconds, 7744 images
122: 6.539794, 8.779781 avg, 0.000009 rate, 4.475753 seconds, 7808 images
123: 5.479882, 8.449791 avg, 0.000009 rate, 4.463054 seconds, 7872 images
124: 6.625474, 8.267359 avg, 0.000009 rate, 4.459642 seconds, 7936 images
125: 6.539618, 8.094584 avg, 0.000010 rate, 4.468185 seconds, 8000 images
126: 5.364467, 7.821573 avg, 0.000010 rate, 4.477743 seconds, 8064 images
127: 7.500912, 7.789507 avg, 0.000010 rate, 4.465357 seconds, 8128 images
128: 6.954215, 7.705977 avg, 0.000010 rate, 4.489061 seconds, 8192 images
129: 9.167237, 7.852103 avg, 0.000011 rate, 4.485028 seconds, 8256 images
130: 6.937473, 7.760640 avg, 0.000011 rate, 4.470671 seconds, 8320 images
131: 7.153636, 7.699940 avg, 0.000012 rate, 5.098052 seconds, 8384 images
132: 5.311391, 7.461085 avg, 0.000012 rate, 5.120219 seconds, 8448 images
133: 7.134213, 7.428398 avg, 0.000012 rate, 5.121179 seconds, 8512 images
134: 4.706991, 7.156257 avg, 0.000013 rate, 5.136789 seconds, 8576 images
135: 5.748118, 7.015443 avg, 0.000013 rate, 5.135252 seconds, 8640 images
136: 8.681958, 7.182095 avg, 0.000013 rate, 5.153376 seconds, 8704 images
137: 6.983617, 7.162247 avg, 0.000014 rate, 5.126599 seconds, 8768 images
138: 5.990745, 7.045096 avg, 0.000014 rate, 5.149149 seconds, 8832 images
139: 5.884953, 6.929082 avg, 0.000015 rate, 5.143366 seconds, 8896 images
140: 5.878881, 6.824062 avg, 0.000015 rate, 5.122159 seconds, 8960 images
141: 6.715710, 6.813227 avg, 0.000015 rate, 10.742124 seconds, 9024 images
142: 6.217073, 6.753612 avg, 0.000016 rate, 10.932176 seconds, 9088 images
143: 7.951847, 6.873435 avg, 0.000016 rate, 10.948477 seconds, 9152 images
144: 8.029882, 6.989080 avg, 0.000017 rate, 10.941901 seconds, 9216 images
145: 8.634101, 7.153582 avg, 0.000017 rate, 10.927288 seconds, 9280 images
146: 6.990551, 7.137279 avg, 0.000018 rate, 10.921474 seconds, 9344 images
147: 7.770337, 7.200585 avg, 0.000018 rate, 10.948768 seconds, 9408 images
148: 5.079528, 6.988479 avg, 0.000019 rate, 10.922400 seconds, 9472 images
149: 4.414641, 6.731095 avg, 0.000019 rate, 10.950545 seconds, 9536 images
150: 4.579050, 6.515891 avg, 0.000020 rate, 10.893213 seconds, 9600 images
151: 11.177108, 6.982012 avg, 0.000020 rate, 3.697208 seconds, 9664 images
152: 6.959766, 6.979788 avg, 0.000021 rate, 3.778860 seconds, 9728 images
153: 5.704986, 6.852308 avg, 0.000021 rate, 3.758583 seconds, 9792 images
154: 10.103954, 7.177473 avg, 0.000022 rate, 3.787594 seconds, 9856 images
155: 3.967330, 6.856458 avg, 0.000023 rate, 3.788914 seconds, 9920 images
156: 9.376163, 7.108428 avg, 0.000023 rate, 3.792787 seconds, 9984 images
157: 5.614508, 6.959036 avg, 0.000024 rate, 3.787631 seconds, 10048 images
158: 6.110870, 6.874220 avg, 0.000024 rate, 3.783669 seconds, 10112 images
159: 5.171685, 6.703966 avg, 0.000025 rate, 3.776941 seconds, 10176 images
160: 5.403073, 6.573877 avg, 0.000026 rate, 3.772382 seconds, 10240 images
161: 6.002347, 6.516724 avg, 0.000026 rate, 3.689921 seconds, 10304 images
162: 5.324913, 6.397543 avg, 0.000027 rate, 3.785337 seconds, 10368 images
163: 6.728860, 6.430675 avg, 0.000028 rate, 3.768318 seconds, 10432 images
164: 6.713662, 6.458973 avg, 0.000028 rate, 3.776185 seconds, 10496 images
165: 4.885774, 6.301653 avg, 0.000029 rate, 3.759704 seconds, 10560 images
166: 6.745470, 6.346035 avg, 0.000030 rate, 3.778569 seconds, 10624 images
167: 5.279367, 6.239368 avg, 0.000030 rate, 3.779956 seconds, 10688 images
168: 8.741231, 6.489555 avg, 0.000031 rate, 3.791870 seconds, 10752 images
169: 4.193638, 6.259963 avg, 0.000032 rate, 3.797044 seconds, 10816 images
170: 7.235878, 6.357554 avg, 0.000033 rate, 3.773043 seconds, 10880 images
171: 5.523347, 6.274134 avg, 0.000033 rate, 6.013977 seconds, 10944 images
172: 5.545197, 6.201240 avg, 0.000034 rate, 6.070457 seconds, 11008 images
173: 4.952039, 6.076320 avg, 0.000035 rate, 6.063882 seconds, 11072 images
174: 5.742056, 6.042894 avg, 0.000036 rate, 6.076796 seconds, 11136 images
175: 5.631403, 6.001745 avg, 0.000037 rate, 6.100567 seconds, 11200 images
176: 5.310392, 5.932610 avg, 0.000037 rate, 6.123019 seconds, 11264 images
177: 5.018087, 5.841157 avg, 0.000038 rate, 6.078583 seconds, 11328 images
178: 6.601614, 5.917203 avg, 0.000039 rate, 6.078072 seconds, 11392 images
179: 4.292772, 5.754760 avg, 0.000040 rate, 6.062016 seconds, 11456 images
180: 6.853865, 5.864670 avg, 0.000041 rate, 6.072066 seconds, 11520 images
181: 5.974207, 5.875624 avg, 0.000042 rate, 11.892249 seconds, 11584 images
182: 4.750383, 5.763100 avg, 0.000043 rate, 12.105891 seconds, 11648 images
183: 5.464814, 5.733271 avg, 0.000044 rate, 12.128609 seconds, 11712 images
184: 3.302391, 5.490183 avg, 0.000045 rate, 12.088158 seconds, 11776 images
185: 4.575871, 5.398752 avg, 0.000046 rate, 12.099135 seconds, 11840 images
186: 4.694980, 5.328375 avg, 0.000047 rate, 12.091696 seconds, 11904 images
187: 5.511656, 5.346703 avg, 0.000048 rate, 12.098324 seconds, 11968 images
188: 4.223526, 5.234385 avg, 0.000049 rate, 12.095093 seconds, 12032 images
189: 4.529230, 5.163870 avg, 0.000050 rate, 12.121727 seconds, 12096 images
190: 6.748295, 5.322312 avg, 0.000051 rate, 12.097605 seconds, 12160 images
191: 3.736318, 5.163713 avg, 0.000052 rate, 5.048017 seconds, 12224 images
192: 3.104937, 4.957835 avg, 0.000053 rate, 5.126422 seconds, 12288 images
193: 5.620812, 5.024133 avg, 0.000054 rate, 5.125321 seconds, 12352 images
194: 3.030288, 4.824748 avg, 0.000055 rate, 5.120278 seconds, 12416 images
195: 4.500482, 4.792321 avg, 0.000056 rate, 5.111434 seconds, 12480 images
196: 5.042958, 4.817385 avg, 0.000058 rate, 5.151760 seconds, 12544 images
197: 4.464783, 4.782125 avg, 0.000059 rate, 5.121862 seconds, 12608 images
198: 2.916615, 4.595573 avg, 0.000060 rate, 5.131891 seconds, 12672 images
199: 5.181642, 4.654181 avg, 0.000061 rate, 5.135727 seconds, 12736 images
200: 3.540980, 4.542861 avg, 0.000063 rate, 5.120652 seconds, 12800 images
201: 6.625630, 4.751138 avg, 0.000064 rate, 8.230435 seconds, 12864 images
202: 6.326737, 4.908698 avg, 0.000065 rate, 8.408635 seconds, 12928 images
203: 3.538629, 4.771691 avg, 0.000066 rate, 8.379050 seconds, 12992 images
204: 4.524674, 4.746989 avg, 0.000068 rate, 8.382255 seconds, 13056 images
205: 3.250569, 4.597347 avg, 0.000069 rate, 8.394187 seconds, 13120 images
206: 4.364898, 4.574102 avg, 0.000070 rate, 8.432662 seconds, 13184 images
207: 4.555476, 4.572240 avg, 0.000072 rate, 8.411202 seconds, 13248 images
208: 3.586319, 4.473648 avg, 0.000073 rate, 8.364318 seconds, 13312 images
209: 4.193367, 4.445620 avg, 0.000075 rate, 8.392141 seconds, 13376 images
210: 4.147297, 4.415787 avg, 0.000076 rate, 8.418021 seconds, 13440 images
211: 3.036719, 4.277881 avg, 0.000077 rate, 5.077421 seconds, 13504 images
212: 4.105440, 4.260636 avg, 0.000079 rate, 5.136642 seconds, 13568 images
213: 3.253220, 4.159894 avg, 0.000080 rate, 5.145835 seconds, 13632 images
214: 3.345641, 4.078469 avg, 0.000082 rate, 5.121597 seconds, 13696 images
215: 3.192827, 3.989905 avg, 0.000083 rate, 5.116295 seconds, 13760 images
216: 2.964416, 3.887356 avg, 0.000085 rate, 5.115091 seconds, 13824 images
217: 5.547848, 4.053405 avg, 0.000087 rate, 5.124444 seconds, 13888 images
218: 3.301841, 3.978249 avg, 0.000088 rate, 5.122448 seconds, 13952 images
219: 4.899141, 4.070338 avg, 0.000090 rate, 5.116484 seconds, 14016 images
220: 3.331871, 3.996491 avg, 0.000092 rate, 5.120272 seconds, 14080 images
221: 3.134796, 3.910322 avg, 0.000093 rate, 12.019376 seconds, 14144 images
222: 2.418665, 3.761156 avg, 0.000095 rate, 12.135007 seconds, 14208 images
223: 3.504957, 3.735536 avg, 0.000097 rate, 12.127790 seconds, 14272 images
224: 3.288969, 3.690880 avg, 0.000098 rate, 12.100677 seconds, 14336 images
225: 3.685576, 3.690349 avg, 0.000100 rate, 12.088230 seconds, 14400 images
226: 2.623461, 3.583660 avg, 0.000102 rate, 12.140629 seconds, 14464 images
227: 4.033980, 3.628692 avg, 0.000104 rate, 12.122525 seconds, 14528 images
228: 3.272590, 3.593082 avg, 0.000106 rate, 12.092716 seconds, 14592 images
229: 2.442778, 3.478051 avg, 0.000107 rate, 12.102062 seconds, 14656 images
230: 4.843105, 3.614557 avg, 0.000109 rate, 12.100944 seconds, 14720 images
231: 5.198200, 3.772921 avg, 0.000111 rate, 6.776060 seconds, 14784 images
232: 2.530910, 3.648720 avg, 0.000113 rate, 6.842934 seconds, 14848 images
233: 3.423019, 3.626150 avg, 0.000115 rate, 6.855971 seconds, 14912 images
234: 3.554921, 3.619027 avg, 0.000117 rate, 6.865624 seconds, 14976 images
235: 3.985631, 3.655688 avg, 0.000119 rate, 6.850094 seconds, 15040 images
236: 2.610332, 3.551152 avg, 0.000121 rate, 6.853659 seconds, 15104 images
237: 3.273310, 3.523368 avg, 0.000123 rate, 6.871509 seconds, 15168 images
238: 2.708610, 3.441892 avg, 0.000125 rate, 6.876059 seconds, 15232 images
239: 1.935147, 3.291218 avg, 0.000127 rate, 6.842453 seconds, 15296 images
240: 2.606530, 3.222749 avg, 0.000130 rate, 6.859120 seconds, 15360 images
241: 2.754609, 3.175935 avg, 0.000132 rate, 4.448803 seconds, 15424 images
242: 6.627521, 3.521093 avg, 0.000134 rate, 4.468862 seconds, 15488 images
243: 5.602319, 3.729216 avg, 0.000136 rate, 4.481719 seconds, 15552 images
244: 4.955906, 3.851885 avg, 0.000138 rate, 4.470715 seconds, 15616 images
245: 2.753457, 3.742042 avg, 0.000141 rate, 4.481096 seconds, 15680 images
